,SALES_ID,YEAR,SELLING_PRICE,KM_DRIVEN,POSTAL_CODE,FUEL,SELLER_TYPE,TRANSMISSION,OWNER,SEATS,MILEAGE_NO,STATE_NAME,CITY_NAME,SOLD,REGION,ENGINE_CC,MAX_POWER_BHP,COMPANY,MODEL
0,1,2014,450000,145500,400001,Diesel,Individual,Manual,First Owner,5,23.4,Maharashtra,Mumbai,Y,West,1248,74.0,Maruti,Swift
1,2,2014,370000,120000,834001,Diesel,Individual,Manual,Second Owner,5,21.14,Jharkhand,Ranchi,Y,East,1498,103.52,Skoda,Rapid
2,3,2006,158000,140000,201301,Petrol,Individual,Manual,Third Owner,5,17.7,Uttar Pradesh,Noida,Y,Central,1497,78.0,Honda,City
3,4,2010,225000,127000,248001,Diesel,Individual,Manual,First Owner,5,23.0,Uttarakhand,Dehradun,Y,Central,1396,90.0,Hyundai,i20
4,5,2007,130000,120000,600020,Petrol,Individual,Manual,First Owner,5,16.1,Tamil Nadu,Chennai,Y,South,1298,88.2,Maruti,Swift
5,6,2017,440000,45000,302029,Petrol,Individual,Manual,First Owner,5,20.14,Rajasthan,Jaipur,Y,North,1197,81.86,Hyundai,Xcent
6,7,2007,96000,175000,302029,LPG,Individual,Manual,First Owner,5,17.3,Rajasthan,Jaipur,Y,North,1061,57.5,Maruti,Wagon
7,8,2001,45000,5000,411002,Petrol,Individual,Manual,Second Owner,4,16.1,Maharashtra,Pune,Y,West,796,37.0,Maruti,800
8,9,2011,350000,90000,431001,Diesel,Individual,Manual,First Owner,5,23.59,Maharashtra,Aurangabad,Y,West,1364,67.1,Toyota,Etios
9,10,2013,200000,169000,560034,Diesel,Individual,Manual,First Owner,5,20.0,Karnataka,Bangalore,Y,South,1399,68.1,Ford,Figo
10,11,2014,500000,68000,248001,Diesel,Individual,Manual,Second Owner,5,19.01,Uttarakhand,Dehradun,Y,Central,1461,108.45,Renault,Duster
11,12,2005,92000,100000,524225,Petrol,Individual,Manual,Second Owner,5,17.3,Andhra Pradesh,Nellore,Y,South,993,60.0,Maruti,Zen
12,13,2009,280000,140000,641001,Diesel,Individual,Manual,Second Owner,5,19.3,Tamil Nadu,Coimbatore,Y,South,1248,73.9,Maruti,Swift
13,15,2009,180000,90000,208002,Petrol,Individual,Manual,Second Owner,5,18.9,Uttar Pradesh,kanpur,Y,Central,1061,67.0,Maruti,Wagon
14,16,2016,400000,40000,737101,Petrol,Individual,Manual,First Owner,5,18.15,Sikkim,Gangtok,Y,North East,1198,82.0,Mahindra,KUV
15,17,2016,778000,70000,682001,Diesel,Individual,Manual,Second Owner,7,24.52,Kerala,Kochi,Y,South,1248,88.5,Maruti,Ertiga
16,18,2012,500000,53000,400001,Diesel,Individual,Manual,Second Owner,5,23.0,Maharashtra,Mumbai,Y,West,1396,90.0,Hyundai,i20
17,19,2002,150000,80000,391510,Petrol,Individual,Manual,Second Owner,5,19.7,Gujarat,Vadodara,Y,West,796,46.3,Maruti,Alto
18,20,2016,680000,100000,110039,Diesel,Individual,Manual,First Owner,5,22.54,Delhi,Delhi,Y,North,1396,88.73,Hyundai,i20
19,21,2011,174000,100000,570004,Diesel,Individual,Manual,Second Owner,5,21.0,Karnataka,Mysore,Y,South,1461,64.1,Mahindra,Verito
20,22,2017,950000,50000,141003,Diesel,Individual,Manual,First Owner,5,25.5,Punjab,Ludhiana,Y,North,1498,98.6,Honda,WR-V
21,23,2015,525000,40000,452010,Diesel,Individual,Manual,First Owner,5,26.59,Madhya Pradesh,Indore,Y,Central,1248,74.0,Maruti,Swift
22,24,2012,600000,72000,141003,Diesel,Individual,Manual,First Owner,5,21.5,Punjab,Ludhiana,Y,North,1248,88.8,Maruti,SX4
23,25,2018,500000,35000,302029,Petrol,Individual,Manual,First Owner,5,20.3,Rajasthan,Jaipur,Y,North,1199,83.81,Tata,Tigor
24,26,2016,575000,45000,831001,Petrol,Individual,Manual,First Owner,5,21.4,Jharkhand,Jamshedpur,Y,East,1197,83.1,Maruti,Baleno
25,27,2017,275000,28000,431001,Petrol,Individual,Manual,First Owner,5,24.7,Maharashtra,Aurangabad,Y,West,796,47.3,Maruti,Alto
26,28,2013,300000,70000,700027,Diesel,Individual,Manual,First Owner,7,18.2,West Bengal,Kolkata,Y,East,1248,73.8,Chevrolet,Enjoy
27,29,2009,220000,120000,834001,Petrol,Individual,Manual,First Owner,5,18.9,Jharkhand,Ranchi,Y,East,1061,67.0,Maruti,Wagon
28,30,2018,254999,25000,500004,Petrol,Individual,Manual,First Owner,8,16.8,Telangana,Hyderabad,Y,South,796,34.2,Maruti,Omni
29,31,2017,670000,70000,801110,Diesel,Individual,Manual,First Owner,5,24.3,Bihar,Patna,Y,East,1248,88.5,Maruti,Vitara
30,33,2012,150000,35000,680004,Petrol,Individual,Manual,Second Owner,5,14.0,Kerala,Thrissur,Y,South,796,35.0,Maruti,Omni
31,34,2018,730000,2388,570004,Petrol,Individual,Manual,First Owner,5,18.6,Karnataka,Mysore,Y,South,1197,81.83,Hyundai,i20
32,35,2017,650000,16200,208002,Diesel,Individual,Manual,First Owner,5,24.3,Uttar Pradesh,kanpur,Y,Central,1248,88.5,Maruti,Vitara
33,36,2019,330000,10000,560034,CNG,Individual,Manual,Second Owner,4,33.44,Karnataka,Bangalore,Y,South,796,40.3,Maruti,Alto
34,37,2019,366000,15000,801110,Petrol,Individual,Manual,First Owner,5,23.95,Bihar,Patna,Y,East,998,67.1,Maruti,Alto
35,38,2019,1149000,5000,452010,Petrol,Individual,Manual,First Owner,5,17.0,Madhya Pradesh,Indore,Y,Central,1591,121.3,Hyundai,Verna
36,39,2016,150000,42000,641001,Petrol,Individual,Manual,First Owner,5,20.63,Tamil Nadu,Coimbatore,Y,South,1198,67.0,Datsun,GO
37,40,2011,425000,60000,208002,Diesel,Individual,Manual,Second Owner,7,13.93,Uttar Pradesh,kanpur,Y,Central,2179,138.03,Tata,Safari
38,41,2012,150000,76000,201301,Petrol,Individual,Manual,First Owner,4,16.1,Uttar Pradesh,Noida,Y,Central,796,37.0,Maruti,800
39,42,2019,2100000,5000,834001,Petrol,Individual,Automatic,First Owner,5,16.0,Jharkhand,Ranchi,Y,East,1368,160.77,Jeep,Compass
40,43,2018,925000,28900,570004,Petrol,Dealer,Manual,First Owner,5,17.8,Karnataka,Mysore,Y,South,1497,117.3,Honda,City
41,44,2013,425000,86300,560034,Petrol,Dealer,Manual,First Owner,5,16.8,Karnataka,Bangalore,Y,South,1497,116.3,Honda,City
42,45,2018,675000,23300,395007,Petrol,Dealer,Automatic,First Owner,5,18.5,Gujarat,Surat,Y,West,1197,83.14,Maruti,Swift
43,46,2018,819999,32600,800002,Diesel,Dealer,Manual,First Owner,5,24.3,Bihar,Patna,Y,East,1248,88.5,Maruti,Vitara
44,47,2018,390000,10300,632001,Petrol,Dealer,Manual,First Owner,5,23.95,Tamil Nadu,Vellore,Y,South,998,67.05,Maruti,Alto
45,48,2014,1500000,77000,400001,Diesel,Dealer,Manual,First Owner,7,12.55,Maharashtra,Mumbai,Y,West,2982,168.5,Toyota,Fortuner
46,49,2013,700000,99000,737101,Diesel,Dealer,Manual,First Owner,7,12.99,Sikkim,Gangtok,Y,North East,2494,100.0,Toyota,Innova
47,50,2014,1450000,27800,560034,Diesel,Dealer,Automatic,Second Owner,5,14.8,Karnataka,Bangalore,Y,South,2143,120.7,Mercedes-Benz,B
48,51,2015,425000,49800,570004,Diesel,Dealer,Manual,First Owner,5,24.7,Karnataka,Mysore,Y,South,1498,98.63,Honda,Amaze
49,52,2013,1090000,151000,524225,Diesel,Dealer,Manual,First Owner,7,13.5,Andhra Pradesh,Nellore,Y,South,2477,175.56,Mitsubishi,Pajero
50,53,2015,600000,54700,751022,Diesel,Dealer,Manual,First Owner,5,26.0,Odisha,Bhubaneshwar,Y,East,1498,98.6,Honda,City
51,54,2018,850000,64000,680004,Petrol,Dealer,Manual,First Owner,5,20.65,Kerala,Thrissur,Y,South,1462,103.25,Maruti,Ciaz
52,55,2015,525000,63000,411002,Diesel,Dealer,Manual,First Owner,5,27.3,Maharashtra,Pune,Y,West,1498,98.6,Honda,Jazz
53,56,2016,1650000,127700,248001,Diesel,Dealer,Automatic,Second Owner,7,11.36,Uttarakhand,Dehradun,Y,Central,2755,171.5,Toyota,Innova
54,57,2016,950000,99000,831001,Diesel,Dealer,Manual,First Owner,7,12.99,Jharkhand,Jamshedpur,Y,East,2494,100.6,Toyota,Innova
55,58,2013,1750000,33900,382460,Diesel,Dealer,Automatic,Second Owner,5,17.68,Gujarat,Ahmedabad,Y,West,1968,174.33,Audi,A6
56,59,2018,1590000,25000,682001,Petrol,Dealer,Automatic,First Owner,5,14.28,Kerala,Kochi,Y,South,1798,138.03,Toyota,Corolla
57,60,2013,1689999,50000,382460,Diesel,Dealer,Automatic,First Owner,5,18.53,Gujarat,Ahmedabad,Y,West,1968,187.74,Audi,A6
58,61,2013,1425000,59000,700027,Diesel,Dealer,Automatic,First Owner,5,14.84,West Bengal,Kolkata,Y,East,2143,170.0,Mercedes-Benz,New
59,62,2011,265000,120000,302029,Diesel,Individual,Manual,First Owner,5,21.12,Rajasthan,Jaipur,Y,North,1248,88.8,Tata,Manza
60,63,2011,190000,110000,395007,Petrol,Individual,Manual,Third Owner,5,20.36,Gujarat,Surat,Y,West,1197,78.9,Hyundai,i10
